gene_id	GO_terms_en	KEGG_pathways_en
ABBFA_002387		
ABBFA_002388	"rRNA modification (GO:0000154); RNA methylation (GO:0001510); molecular_function (GO:0003674); catalytic activity (GO:0003824); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); nucleobase-containing compound metabolic process (GO:0006139); rRNA processing (GO:0006364); RNA processing (GO:0006396); obsolete cellular aromatic compound metabolic process (GO:0006725); obsolete nitrogen compound metabolic process (GO:0006807); biological_process (GO:0008150); metabolic process (GO:0008152); methyltransferase activity (GO:0008168); N-methyltransferase activity (GO:0008170); RNA methyltransferase activity (GO:0008173); rRNA methyltransferase activity (GO:0008649); S-adenosylmethionine-dependent methyltransferase activity (GO:0008757); rRNA (guanine-N2-)-methyltransferase activity (GO:0008990); RNA modification (GO:0009451); cellular process (GO:0009987); gene expression (GO:0010467); RNA metabolic process (GO:0016070); rRNA metabolic process (GO:0016072); rRNA (guanine) methyltransferase activity (GO:0016435); transferase activity (GO:0016740); transferase activity, transferring one-carbon groups (GO:0016741); ribonucleoprotein complex biogenesis (GO:0022613); rRNA methylation (GO:0031167); methylation (GO:0032259); obsolete ncRNA processing (GO:0034470); obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete ncRNA metabolic process (GO:0034660); RNA (guanine-N7)-methylation (GO:0036265); ribosome biogenesis (GO:0042254); macromolecule metabolic process (GO:0043170); macromolecule modification (GO:0043412); macromolecule methylation (GO:0043414); cellular component biogenesis (GO:0044085); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular macromolecule metabolic process (GO:0044260); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cell part (GO:0044464); obsolete heterocycle metabolic process (GO:0046483); rRNA (guanine-N7-)-methyltransferase activity (GO:0070043); rRNA base methylation (GO:0070475); rRNA (guanine-N7)-methylation (GO:0070476); obsolete organic substance metabolic process (GO:0071704); cellular component organization or biogenesis (GO:0071840); nucleic acid metabolic process (GO:0090304); catalytic activity, acting on RNA (GO:0140098); catalytic activity, acting on a rRNA (GO:0140102); obsolete organic cyclic compound metabolic process (GO:1901360)"	
ABBFA_002389		
ABBFA_002390		ko00760; Nicotinate and nicotinamide metabolism (map00760)
clpB	"nucleotide binding (GO:0000166); molecular_function (GO:0003674); catalytic activity (GO:0003824); binding (GO:0005488); protein binding (GO:0005515); ATP binding (GO:0005524); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); proteolysis (GO:0006508); obsolete nitrogen compound metabolic process (GO:0006807); response to stress (GO:0006950); response to unfolded protein (GO:0006986); obsolete drug binding (GO:0008144); biological_process (GO:0008150); metabolic process (GO:0008152); peptidase activity (GO:0008233); response to temperature stimulus (GO:0009266); response to heat (GO:0009408); response to abiotic stimulus (GO:0009628); obsolete response to organic substance (GO:0010033); pyrophosphatase activity (GO:0016462); hydrolase activity (GO:0016787); hydrolase activity, acting on acid anhydrides (GO:0016817); hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818); ATP hydrolysis activity (GO:0016887); purine nucleotide binding (GO:0017076); ribonucleoside triphosphate phosphatase activity (GO:0017111); protein metabolic process (GO:0019538); adenyl nucleotide binding (GO:0030554); obsolete denatured protein binding (GO:0031249); ribonucleotide binding (GO:0032553); purine ribonucleotide binding (GO:0032555); adenyl ribonucleotide binding (GO:0032559); purine ribonucleoside triphosphate binding (GO:0035639); response to topologically incorrect protein (GO:0035966); small molecule binding (GO:0036094); response to chemical (GO:0042221); GO:0042623; identical protein binding (GO:0042802); ion binding (GO:0043167); anion binding (GO:0043168); macromolecule metabolic process (GO:0043170); primary metabolic process (GO:0044238); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cell part (GO:0044464); response to stimulus (GO:0050896); obsolete organic substance metabolic process (GO:0071704); obsolete organic cyclic compound binding (GO:0097159); carbohydrate derivative binding (GO:0097367); catalytic activity, acting on a protein (GO:0140096); nucleoside phosphate binding (GO:1901265); heterocyclic compound binding (GO:1901363); obsolete organonitrogen compound metabolic process (GO:1901564)"	ko04213; Longevity regulating pathway - multiple species (map04213)
ABBFA_002392		
ABBFA_002393		
ABBFA_002394		
ABBFA_002395	molecular_function (GO:0003674); nucleic acid binding (GO:0003676); DNA binding (GO:0003677); binding (GO:0005488); protein binding (GO:0005515); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); nucleobase-containing compound metabolic process (GO:0006139); DNA-templated transcription (GO:0006351); regulation of DNA-templated transcription (GO:0006355); obsolete cellular aromatic compound metabolic process (GO:0006725); obsolete nitrogen compound metabolic process (GO:0006807); cell communication (GO:0007154); response to nutrient (GO:0007584); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); response to external stimulus (GO:0009605); regulation of biosynthetic process (GO:0009889); negative regulation of biosynthetic process (GO:0009890); positive regulation of biosynthetic process (GO:0009891); negative regulation of metabolic process (GO:0009892); positive regulation of metabolic process (GO:0009893); cellular process (GO:0009987); obsolete response to extracellular stimulus (GO:0009991); gene expression (GO:0010467); regulation of gene expression (GO:0010468); regulation of macromolecule biosynthetic process (GO:0010556); positive regulation of macromolecule biosynthetic process (GO:0010557); negative regulation of macromolecule biosynthetic process (GO:0010558); positive regulation of macromolecule metabolic process (GO:0010604); negative regulation of macromolecule metabolic process (GO:0010605); positive regulation of gene expression (GO:0010628); negative regulation of gene expression (GO:0010629); RNA metabolic process (GO:0016070); obsolete heterocycle biosynthetic process (GO:0018130); regulation of nucleobase-containing compound metabolic process (GO:0019219); regulation of metabolic process (GO:0019222); obsolete aromatic compound biosynthetic process (GO:0019438); obsolete regulation of cellular metabolic process (GO:0031323); obsolete negative regulation of cellular metabolic process (GO:0031324); obsolete positive regulation of cellular metabolic process (GO:0031325); obsolete regulation of cellular biosynthetic process (GO:0031326); obsolete negative regulation of cellular biosynthetic process (GO:0031327); obsolete positive regulation of cellular biosynthetic process (GO:0031328); response to nutrient levels (GO:0031667); obsolete cellular response to extracellular stimulus (GO:0031668); cellular response to nutrient levels (GO:0031669); cellular response to nutrient (GO:0031670); RNA biosynthetic process (GO:0032774); protein-containing complex (GO:0032991); protein-DNA complex (GO:0032993); obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); nucleobase-containing compound biosynthetic process (GO:0034654); response to chemical (GO:0042221); identical protein binding (GO:0042802); macromolecule metabolic process (GO:0043170); sequence-specific DNA binding (GO:0043565); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); obsolete cellular nitrogen compound biosynthetic process (GO:0044271); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cell part (GO:0044464); carbon catabolite repression of transcription (GO:0045013); negative regulation of DNA-templated transcription (GO:0045892); positive regulation of DNA-templated transcription (GO:0045893); negative regulation of nucleobase-containing compound metabolic process (GO:0045934); obsolete positive regulation of nucleobase-containing compound metabolic process (GO:0045935); carbon catabolite regulation of transcription (GO:0045990); obsolete heterocycle metabolic process (GO:0046483); positive regulation of biological process (GO:0048518); negative regulation of biological process (GO:0048519); positive regulation of cellular process (GO:0048522); negative regulation of cellular process (GO:0048523); regulation of biological process (GO:0050789); regulation of cellular process (GO:0050794); response to stimulus (GO:0050896); obsolete regulation of nitrogen compound metabolic process (GO:0051171); obsolete negative regulation of nitrogen compound metabolic process (GO:0051172); obsolete positive regulation of nitrogen compound metabolic process (GO:0051173); regulation of RNA metabolic process (GO:0051252); negative regulation of RNA metabolic process (GO:0051253); positive regulation of RNA metabolic process (GO:0051254); cellular response to stimulus (GO:0051716); regulation of macromolecule metabolic process (GO:0060255); catabolite repression (GO:0061984); carbon catabolite repression (GO:0061985); biological regulation (GO:0065007); cellular response to chemical stimulus (GO:0070887); cellular response to external stimulus (GO:0071496); obsolete organic substance metabolic process (GO:0071704); regulation of primary metabolic process (GO:0080090); nucleic acid metabolic process (GO:0090304); obsolete organic cyclic compound binding (GO:0097159); obsolete nucleic acid-templated transcription (GO:0097659); obsolete organic cyclic compound metabolic process (GO:1901360); obsolete organic cyclic compound biosynthetic process (GO:1901362); heterocyclic compound binding (GO:1901363); obsolete organic substance biosynthetic process (GO:1901576); negative regulation of RNA biosynthetic process (GO:1902679); positive regulation of RNA biosynthetic process (GO:1902680); obsolete regulation of nucleic acid-templated transcription (GO:1903506); obsolete negative regulation of nucleic acid-templated transcription (GO:1903507); obsolete positive regulation of nucleic acid-templated transcription (GO:1903508); obsolete regulation of cellular macromolecule biosynthetic process (GO:2000112); obsolete negative regulation of cellular macromolecule biosynthetic process (GO:2000113); regulation of RNA biosynthetic process (GO:2001141)	ko02020; ko02024; ko02025; ko02026; ko05111; Two-component system (map02020); Quorum sensing (map02024); Biofilm formation - Pseudomonas aeruginosa (map02025); Biofilm formation - Escherichia coli (map02026); Biofilm formation - Vibrio cholerae (map05111)
ABBFA_002396	"molecular_function (GO:0003674); catalytic activity (GO:0003824); obsolete aldo-keto reductase (NADPH) activity (GO:0004033); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); response to stress (GO:0006950); cell communication (GO:0007154); biological_process (GO:0008150); metabolic process (GO:0008152); cellular response to starvation (GO:0009267); response to external stimulus (GO:0009605); cellular process (GO:0009987); obsolete response to extracellular stimulus (GO:0009991); oxidoreductase activity (GO:0016491); oxidoreductase activity, acting on CH-OH group of donors (GO:0016614); oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616); response to nutrient levels (GO:0031667); obsolete cellular response to extracellular stimulus (GO:0031668); cellular response to nutrient levels (GO:0031669); cellular response to stress (GO:0033554); cellular response to amino acid starvation (GO:0034198); response to starvation (GO:0042594); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cell part (GO:0044464); response to stimulus (GO:0050896); cellular response to stimulus (GO:0051716); obsolete oxidation-reduction process (GO:0055114); cellular response to external stimulus (GO:0071496); response to amino acid starvation (GO:1990928)"	
ABBFA_002397		
ABBFA_002398		
purA	"molecular_function (GO:0003674); catalytic activity (GO:0003824); adenylosuccinate synthase activity (GO:0004019); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); nucleobase-containing compound metabolic process (GO:0006139); purine nucleotide metabolic process (GO:0006163); purine nucleotide biosynthetic process (GO:0006164); AMP biosynthetic process (GO:0006167); obsolete cellular aromatic compound metabolic process (GO:0006725); nucleoside phosphate metabolic process (GO:0006753); phosphorus metabolic process (GO:0006793); phosphate-containing compound metabolic process (GO:0006796); obsolete nitrogen compound metabolic process (GO:0006807); response to stress (GO:0006950); DNA damage response (GO:0006974); biological_process (GO:0008150); metabolic process (GO:0008152); biosynthetic process (GO:0009058); nucleoside metabolic process (GO:0009116); nucleotide metabolic process (GO:0009117); ribonucleoside metabolic process (GO:0009119); nucleoside monophosphate metabolic process (GO:0009123); nucleoside monophosphate biosynthetic process (GO:0009124); purine nucleoside monophosphate metabolic process (GO:0009126); purine nucleoside monophosphate biosynthetic process (GO:0009127); purine ribonucleotide metabolic process (GO:0009150); purine ribonucleotide biosynthetic process (GO:0009152); ribonucleoside monophosphate biosynthetic process (GO:0009156); obsolete ribonucleoside monophosphate metabolic process (GO:0009161); nucleoside biosynthetic process (GO:0009163); nucleotide biosynthetic process (GO:0009165); purine ribonucleoside monophosphate metabolic process (GO:0009167); purine ribonucleoside monophosphate biosynthetic process (GO:0009168); ribonucleotide metabolic process (GO:0009259); ribonucleotide biosynthetic process (GO:0009260); cellular process (GO:0009987); nucleobase-containing small molecule interconversion (GO:0015949); ligase activity (GO:0016874); ligase activity, forming carbon-nitrogen bonds (GO:0016879); GO:0017144; obsolete heterocycle biosynthetic process (GO:0018130); obsolete aromatic compound biosynthetic process (GO:0019438); organophosphate metabolic process (GO:0019637); ribose phosphate metabolic process (GO:0019693); cellular response to stress (GO:0033554); nucleobase-containing small molecule biosynthetic process (GO:0034404); obsolete cellular nitrogen compound metabolic process (GO:0034641); nucleobase-containing compound biosynthetic process (GO:0034654); purine nucleoside metabolic process (GO:0042278); purine nucleoside biosynthetic process (GO:0042451); ribonucleoside biosynthetic process (GO:0042455); 'de novo' AMP biosynthetic process (GO:0044208); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular nitrogen compound biosynthetic process (GO:0044271); small molecule metabolic process (GO:0044281); small molecule biosynthetic process (GO:0044283); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cell part (GO:0044464); AMP metabolic process (GO:0046033); IMP metabolic process (GO:0046040); adenosine metabolic process (GO:0046085); adenosine biosynthetic process (GO:0046086); purine ribonucleoside metabolic process (GO:0046128); purine ribonucleoside biosynthetic process (GO:0046129); ribose phosphate biosynthetic process (GO:0046390); obsolete heterocycle metabolic process (GO:0046483); response to stimulus (GO:0050896); cellular response to stimulus (GO:0051716); nucleobase-containing small molecule metabolic process (GO:0055086); obsolete organic substance metabolic process (GO:0071704); purine-containing compound metabolic process (GO:0072521); purine-containing compound biosynthetic process (GO:0072522); organophosphate biosynthetic process (GO:0090407); carbohydrate derivative metabolic process (GO:1901135); carbohydrate derivative biosynthetic process (GO:1901137); nucleoside phosphate biosynthetic process (GO:1901293); obsolete organic cyclic compound metabolic process (GO:1901360); obsolete organic cyclic compound biosynthetic process (GO:1901362); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound biosynthetic process (GO:1901566); obsolete organic substance biosynthetic process (GO:1901576); obsolete glycosyl compound metabolic process (GO:1901657); glycosyl compound biosynthetic process (GO:1901659)"	"ko00230; ko00250; ko01100; Purine metabolism (map00230); Alanine, aspartate and glutamate metabolism (map00250); Metabolic pathways (map01100)"
ABBFA_002400		ko00340; ko01100; ko01110; ko01230; Histidine metabolism (map00340); Metabolic pathways (map01100); Biosynthesis of secondary metabolites (map01110); Biosynthesis of amino acids (map01230)
ABBFA_002402		ko00010; ko00710; ko01100; ko01110; ko01120; ko01130; ko01200; ko01230; ko04066; ko05010; Glycolysis / Gluconeogenesis (map00010); Carbon fixation by Calvin cycle (map00710); Metabolic pathways (map01100); Biosynthesis of secondary metabolites (map01110); Microbial metabolism in diverse environments (map01120); map01130; Carbon metabolism (map01200); Biosynthesis of amino acids (map01230); HIF-1 signaling pathway (map04066); Alzheimer disease (map05010)
alaS	"GO:0001130; GO:0001131; GO:0001141; DNA-binding transcription repressor activity (GO:0001217); aminoacyl-tRNA deacylase activity (GO:0002161); Ser-tRNA(Ala) deacylase activity (GO:0002196); molecular_function (GO:0003674); DNA-binding transcription factor activity (GO:0003700); catalytic activity (GO:0003824); aminoacyl-tRNA ligase activity (GO:0004812); alanine-tRNA ligase activity (GO:0004813); binding (GO:0005488); protein binding (GO:0005515); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); obsolete organic acid metabolic process (GO:0006082); nucleobase-containing compound metabolic process (GO:0006139); regulation of DNA-templated transcription (GO:0006355); RNA processing (GO:0006396); tRNA metabolic process (GO:0006399); tRNA modification (GO:0006400); translation (GO:0006412); tRNA aminoacylation for protein translation (GO:0006418); alanyl-tRNA aminoacylation (GO:0006419); regulation of translational fidelity (GO:0006450); peptide metabolic process (GO:0006518); amino acid metabolic process (GO:0006520); obsolete cellular aromatic compound metabolic process (GO:0006725); obsolete nitrogen compound metabolic process (GO:0006807); tRNA processing (GO:0008033); biological_process (GO:0008150); metabolic process (GO:0008152); zinc ion binding (GO:0008270); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); RNA modification (GO:0009451); regulation of biosynthetic process (GO:0009889); negative regulation of biosynthetic process (GO:0009890); negative regulation of metabolic process (GO:0009892); cellular process (GO:0009987); gene expression (GO:0010467); regulation of gene expression (GO:0010468); regulation of macromolecule biosynthetic process (GO:0010556); negative regulation of macromolecule biosynthetic process (GO:0010558); negative regulation of macromolecule metabolic process (GO:0010605); negative regulation of gene expression (GO:0010629); RNA metabolic process (GO:0016070); amino acid binding (GO:0016597); hydrolase activity (GO:0016787); hydrolase activity, acting on ester bonds (GO:0016788); ligase activity (GO:0016874); ligase activity, forming carbon-oxygen bonds (GO:0016875); regulation of nucleobase-containing compound metabolic process (GO:0019219); regulation of metabolic process (GO:0019222); protein metabolic process (GO:0019538); carboxylic acid metabolic process (GO:0019752); obsolete regulation of cellular metabolic process (GO:0031323); obsolete negative regulation of cellular metabolic process (GO:0031324); obsolete regulation of cellular biosynthetic process (GO:0031326); obsolete negative regulation of cellular biosynthetic process (GO:0031327); carboxylic acid binding (GO:0031406); obsolete ncRNA processing (GO:0034470); obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); obsolete ncRNA metabolic process (GO:0034660); small molecule binding (GO:0036094); identical protein binding (GO:0042802); amino acid activation (GO:0043038); tRNA aminoacylation (GO:0043039); peptide biosynthetic process (GO:0043043); ion binding (GO:0043167); anion binding (GO:0043168); cation binding (GO:0043169); macromolecule metabolic process (GO:0043170); organic acid binding (GO:0043177); macromolecule modification (GO:0043412); oxoacid metabolic process (GO:0043436); obsolete amide metabolic process (GO:0043603); obsolete amide biosynthetic process (GO:0043604); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); GO:0044267; obsolete cellular nitrogen compound biosynthetic process (GO:0044271); small molecule metabolic process (GO:0044281); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cell part (GO:0044464); negative regulation of DNA-templated transcription (GO:0045892); negative regulation of nucleobase-containing compound metabolic process (GO:0045934); obsolete heterocycle metabolic process (GO:0046483); metal ion binding (GO:0046872); transition metal ion binding (GO:0046914); negative regulation of biological process (GO:0048519); negative regulation of cellular process (GO:0048523); regulation of biological process (GO:0050789); regulation of cellular process (GO:0050794); obsolete regulation of nitrogen compound metabolic process (GO:0051171); obsolete negative regulation of nitrogen compound metabolic process (GO:0051172); regulation of RNA metabolic process (GO:0051252); negative regulation of RNA metabolic process (GO:0051253); carboxylic ester hydrolase activity (GO:0052689); regulation of macromolecule metabolic process (GO:0060255); biological regulation (GO:0065007); regulation of biological quality (GO:0065008); obsolete organic substance metabolic process (GO:0071704); regulation of primary metabolic process (GO:0080090); nucleic acid metabolic process (GO:0090304); aminoacyl-tRNA metabolism involved in translational fidelity (GO:0106074); catalytic activity, acting on RNA (GO:0140098); catalytic activity, acting on a tRNA (GO:0140101); transcription regulator activity (GO:0140110); obsolete organic cyclic compound metabolic process (GO:1901360); obsolete organonitrogen compound metabolic process (GO:1901564); obsolete organonitrogen compound biosynthetic process (GO:1901566); obsolete organic substance biosynthetic process (GO:1901576); negative regulation of RNA biosynthetic process (GO:1902679); obsolete regulation of nucleic acid-templated transcription (GO:1903506); obsolete negative regulation of nucleic acid-templated transcription (GO:1903507); obsolete regulation of cellular macromolecule biosynthetic process (GO:2000112); obsolete negative regulation of cellular macromolecule biosynthetic process (GO:2000113); regulation of RNA biosynthetic process (GO:2001141)"	ko00970; Aminoacyl-tRNA biosynthesis (map00970)
ABBFA_002404	"molecular_function (GO:0003674); catalytic activity (GO:0003824); aspartate kinase activity (GO:0004072); phosphorus metabolic process (GO:0006793); phosphate-containing compound metabolic process (GO:0006796); biological_process (GO:0008150); metabolic process (GO:0008152); cellular process (GO:0009987); kinase activity (GO:0016301); phosphorylation (GO:0016310); transferase activity (GO:0016740); transferase activity, transferring phosphorus-containing groups (GO:0016772); phosphotransferase activity, carboxyl group as acceptor (GO:0016774); amino acid kinase activity (GO:0019202); obsolete cellular metabolic process (GO:0044237)"	"ko00260; ko00261; ko00270; ko00300; ko01100; ko01110; ko01120; ko01130; ko01210; ko01230; Glycine, serine and threonine metabolism (map00260); Monobactam biosynthesis (map00261); Cysteine and methionine metabolism (map00270); Lysine biosynthesis (map00300); Metabolic pathways (map01100); Biosynthesis of secondary metabolites (map01110); Microbial metabolism in diverse environments (map01120); map01130; 2-Oxocarboxylic acid metabolism (map01210); Biosynthesis of amino acids (map01230)"
csrA	molecular_function (GO:0003674); nucleic acid binding (GO:0003676); RNA binding (GO:0003723); mRNA binding (GO:0003729); binding (GO:0005488); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); cytoplasm (GO:0005737); cytosol (GO:0005829); regulation of glycogen biosynthetic process (GO:0005979); regulation of carbohydrate metabolic process (GO:0006109); nucleobase-containing compound metabolic process (GO:0006139); regulation of translation (GO:0006417); regulation of translational initiation (GO:0006446); obsolete cellular aromatic compound metabolic process (GO:0006725); obsolete nitrogen compound metabolic process (GO:0006807); biological_process (GO:0008150); metabolic process (GO:0008152); regulation of biosynthetic process (GO:0009889); negative regulation of biosynthetic process (GO:0009890); negative regulation of metabolic process (GO:0009892); cellular process (GO:0009987); regulation of gene expression (GO:0010468); regulation of macromolecule biosynthetic process (GO:0010556); negative regulation of macromolecule biosynthetic process (GO:0010558); negative regulation of macromolecule metabolic process (GO:0010605); post-transcriptional regulation of gene expression (GO:0010608); negative regulation of gene expression (GO:0010629); obsolete regulation of cellular carbohydrate metabolic process (GO:0010675); obsolete negative regulation of cellular carbohydrate metabolic process (GO:0010677); regulation of glucose metabolic process (GO:0010906); regulation of glucan biosynthetic process (GO:0010962); RNA metabolic process (GO:0016070); mRNA metabolic process (GO:0016071); negative regulation of translation (GO:0017148); regulation of metabolic process (GO:0019222); obsolete regulation of cellular metabolic process (GO:0031323); obsolete negative regulation of cellular metabolic process (GO:0031324); obsolete regulation of cellular biosynthetic process (GO:0031326); obsolete negative regulation of cellular biosynthetic process (GO:0031327); GO:0032268; GO:0032269; regulation of polysaccharide metabolic process (GO:0032881); regulation of polysaccharide biosynthetic process (GO:0032885); obsolete regulation of amide metabolic process (GO:0034248); obsolete negative regulation of amide metabolic process (GO:0034249); obsolete cellular nitrogen compound metabolic process (GO:0034641); macromolecule metabolic process (GO:0043170); regulation of carbohydrate biosynthetic process (GO:0043255); regulation of generation of precursor metabolites and energy (GO:0043467); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete intracellular part (GO:0044424); obsolete cytoplasmic part (GO:0044444); obsolete cell part (GO:0044464); negative regulation of glycogen biosynthetic process (GO:0045719); negative regulation of carbohydrate metabolic process (GO:0045912); negative regulation of translational initiation (GO:0045947); obsolete heterocycle metabolic process (GO:0046483); mRNA 5'-UTR binding (GO:0048027); negative regulation of biological process (GO:0048519); negative regulation of cellular process (GO:0048523); regulation of biological process (GO:0050789); regulation of cellular process (GO:0050794); obsolete regulation of nitrogen compound metabolic process (GO:0051171); obsolete negative regulation of nitrogen compound metabolic process (GO:0051172); regulation of protein metabolic process (GO:0051246); negative regulation of protein metabolic process (GO:0051248); regulation of macromolecule metabolic process (GO:0060255); regulation of small molecule metabolic process (GO:0062012); biological regulation (GO:0065007); regulation of glycogen metabolic process (GO:0070873); negative regulation of glycogen metabolic process (GO:0070874); obsolete organic substance metabolic process (GO:0071704); regulation of primary metabolic process (GO:0080090); nucleic acid metabolic process (GO:0090304); obsolete organic cyclic compound binding (GO:0097159); obsolete organic cyclic compound metabolic process (GO:1901360); heterocyclic compound binding (GO:1901363); obsolete regulation of cellular macromolecule biosynthetic process (GO:2000112); obsolete negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	ko02020; ko02025; ko02026; ko05111; Two-component system (map02020); Biofilm formation - Pseudomonas aeruginosa (map02025); Biofilm formation - Escherichia coli (map02026); Biofilm formation - Vibrio cholerae (map05111)
ABBFA_002406	"molecular_function (GO:0003674); catalytic activity (GO:0003824); nuclease activity (GO:0004518); endonuclease activity (GO:0004519); RNA endonuclease activity (GO:0004521); RNA-DNA hybrid ribonuclease activity (GO:0004523); RNA nuclease activity (GO:0004540); cellular_component (GO:0005575); intracellular anatomical structure (GO:0005622); obsolete cell (GO:0005623); nucleobase-containing compound metabolic process (GO:0006139); DNA metabolic process (GO:0006259); DNA replication (GO:0006260); DNA-templated DNA replication (GO:0006261); DNA strand elongation involved in DNA replication (GO:0006271); lagging strand elongation (GO:0006273); DNA repair (GO:0006281); mismatch repair (GO:0006298); RNA catabolic process (GO:0006401); obsolete cellular aromatic compound metabolic process (GO:0006725); obsolete nitrogen compound metabolic process (GO:0006807); response to stress (GO:0006950); DNA damage response (GO:0006974); biological_process (GO:0008150); metabolic process (GO:0008152); catabolic process (GO:0009056); macromolecule catabolic process (GO:0009057); biosynthetic process (GO:0009058); macromolecule biosynthetic process (GO:0009059); cellular process (GO:0009987); RNA metabolic process (GO:0016070); hydrolase activity (GO:0016787); hydrolase activity, acting on ester bonds (GO:0016788); RNA endonuclease activity producing 5'-phosphomonoesters, hydrolytic mechanism (GO:0016891); obsolete endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters (GO:0016893); obsolete aromatic compound catabolic process (GO:0019439); DNA strand elongation (GO:0022616); ribonuclease H2 complex (GO:0032299); protein-containing complex (GO:0032991); cellular response to stress (GO:0033554); DNA replication, Okazaki fragment processing (GO:0033567); obsolete cellular nitrogen compound metabolic process (GO:0034641); obsolete cellular macromolecule biosynthetic process (GO:0034645); nucleobase-containing compound catabolic process (GO:0034655); DNA replication, removal of RNA primer (GO:0043137); macromolecule metabolic process (GO:0043170); obsolete cellular metabolic process (GO:0044237); primary metabolic process (GO:0044238); obsolete cellular catabolic process (GO:0044248); obsolete cellular biosynthetic process (GO:0044249); obsolete cellular macromolecule metabolic process (GO:0044260); obsolete cellular macromolecule catabolic process (GO:0044265); obsolete cellular nitrogen compound catabolic process (GO:0044270); obsolete intracellular part (GO:0044424); obsolete cell part (GO:0044464); obsolete heterocycle metabolic process (GO:0046483); obsolete heterocycle catabolic process (GO:0046700); response to stimulus (GO:0050896); cellular response to stimulus (GO:0051716); obsolete organic substance metabolic process (GO:0071704); nucleic acid metabolic process (GO:0090304); obsolete nucleic acid phosphodiester bond hydrolysis (GO:0090305); obsolete RNA phosphodiester bond hydrolysis (GO:0090501); obsolete RNA phosphodiester bond hydrolysis, endonucleolytic (GO:0090502); catalytic activity, acting on RNA (GO:0140098); obsolete organic cyclic compound metabolic process (GO:1901360); obsolete organic cyclic compound catabolic process (GO:1901361); obsolete organic substance catabolic process (GO:1901575); obsolete organic substance biosynthetic process (GO:1901576)"	ko03030; DNA replication (map03030)
ABBFA_002407		
ABBFA_002408		
add		ko00230; ko01100; ko05340; Purine metabolism (map00230); Metabolic pathways (map01100); Primary immunodeficiency (map05340)
ABBFA_002410		
ABBFA_002411		
ABBFA_002412		
ABBFA_002413		
ABBFA_002414		
ABBFA_002415		
ABBFA_002416		
ABBFA_002417		
ABBFA_002418		
ABBFA_002419		
ABBFA_002420		
ABBFA_002421		
ABBFA_002422		
ABBFA_002423		
ABBFA_002424		ko00903; ko00930; ko01220; Limonene degradation (map00903); Caprolactam degradation (map00930); Degradation of aromatic compounds (map01220)
ABBFA_002425		ko00984; ko01120; Steroid degradation (map00984); Microbial metabolism in diverse environments (map01120)
ABBFA_002426		
ABBFA_002427		
